FIRST_INV_DATE,NAME,GENDER,AGE,STATE,COUNTRY,INVESTMENT_TYPE,NET_ASSET_VALUE
2011,Eleventh St. Loftominium Condo Assoc.,FEMALE,19,IL,United States,Alternative,540851.7012
2017,Smart Hotels LLC,MALE,19,OH,United States,Alternative,23476755.47
2017,Svigos Asset Management,FEMALE,19,IL,United States,Alternative,108263315
2017,george K. baum & company,FEMALE,19,IL,United States,Alternative,78666436.16
2017,Jenel Management Corp.,MALE,19,NY,United States,Alternative,28417063.35
2016,"Chen, Xavier",FEMALE,19,IL,United States,Alternative,56012546.84
2017,Seminary Properties & Management Ltd,MALE,19,IL,United States,Alternative,16115387.56
2017,American Beverage Association,FEMALE,19,DC,United States,Alternative,46610510.73
2017,Illinois Medical District,MALE,19,IL,United States,Alternative,14986263.37
2017,Taser International,MALE,19,AZ,United States,Alternative,1671560.2
2017,Chicago Neighborhood Initiatives,MALE,19,IL,United States,Alternative,87606180.32
2017,Mount Sinai Hospital and Medical Center,FEMALE,19,IL,United States,Alternative,97364070.06
2017,Pan American Bank,MALE,19,IL,United States,Alternative,112552487.4
2017,J.P. Morgan Securities LLC,FEMALE,19,NY,United States,Alternative,6246550.65
2017,KDP 1400 North LLC,FEMALE,19,IL,United States,Alternative,74147066.72
2017,30 East Elm Condominium Association,FEMALE,19,IL,United States,Alternative,92238199.29
2016,MIKE PINELLI C/O 1938 W NORTH AVE LLC,FEMALE,19,IL,United States,Alternative,1023100.83
2017,Bridgford Foods,FEMALE,19,IL,United States,Alternative,89115961.96
2017,Northern Trust Corporation,MALE,19,IL,United States,Alternative,57617635.23
2017,Barrett & Porto,MALE,19,IL,United States,Alternative,41458529.83
2016,The River Plaza Homeowners Association,MALE,19,IL,United States,Alternative,69406173.49
2017,Bridgford Foods,FEMALE,19,IL,United States,Alternative,97501471.11
2017,"401 S. State Street Owner, LLC",MALE,19,IL,United States,Alternative,84309741.38
2017,Ascendance Partners,FEMALE,19,IL,United States,Alternative,25265678.73
2017,"Waste Connections, Inc.",FEMALE,19,TX,United States,Alternative,21105922.52
2017,Arlington Park,FEMALE,19,IL,United States,Alternative,74274243.32
2017,Velmeir Companies,FEMALE,19,IL,United States,Alternative,73829498.48
2017,Michael Wilkinson,FEMALE,19,IL,United States,Alternative,51462248.11
2017,Chicago Market - A Community Co-op,FEMALE,19,IL,United States,Alternative,14843916.56
2017,James Beckman,FEMALE,19,IL,United States,Alternative,42107888.67
2017,Aaron Franceschi,FEMALE,19,IL,United States,Alternative,33211829.43
2017,Illinois Association of REALTORS,FEMALE,19,IL,United States,Equities,38219952.09
2017,American Express Travel Related Services,FEMALE,19,NY,United States,ETF,34907702.29
2017,CARLOS VAZQUEZ C/O WILLIAM MORALES,MALE,19,IL,United States,Alternative,99604095.62
2017,American Staffing Association,FEMALE,19,VA,United States,ETF,117982362.2
2017,Adapt Pharma,FEMALE,19,CA,United States,Equities,53269737.33
2012,Landrum & Brown,FEMALE,20,IL,United States,Alternative,269887.0004
2011,Ghafari Associates LLC,MALE,20,IL,United States,Alternative,814518.6253
2012,Resurrection Medical Center,MALE,20,IL,United States,Alternative,729040.5366
2017,1514 W Division LLC,MALE,20,IL,United States,Alternative,14942650.15
2017,Quad Communities Development Corporation,FEMALE,20,IL,United States,Alternative,70388327.44
2017,Presence Health,MALE,20,IL,United States,Alternative,116304011.1
2017,"Lyons, Robert",MALE,20,IL,United States,Alternative,104825085
2017,"The Grove, Inc.",FEMALE,20,IL,United States,Alternative,60022958.27
2017,U.S. Bank National Association,MALE,20,MN,United States,Alternative,42097406.59
2017,"The Prime Group, Inc.",MALE,20,IL,United States,Alternative,115924558.6
2017,"K-Plus Engineering, LLC.",FEMALE,20,IL,United States,Alternative,71006095.54
2017,Harley Goldstein,MALE,20,IL,United States,Alternative,117165952.4
2020,Anixter,FEMALE,20,IL,United States,Alternative,98509041.53
2017,Comcast Corp.,MALE,20,IL,United States,Alternative,57188706.96
2016,McCaffery Interests,MALE,20,IL,United States,Alternative,16510660.29
2017,Gerding Edlen,FEMALE,20,OR,United States,Alternative,33819483.37
2017,"Chicago Cubs Baseball Club, LLC",FEMALE,20,IL,United States,Alternative,63505694.77
2017,"King Sykes, LLC",MALE,20,IL,United States,Alternative,91518647.45
2017,Center Properties,FEMALE,20,IL,United States,Alternative,91609343.28
2017,RELIABLE PLATING CORPORATION,MALE,20,IL,United States,Alternative,96554183.72
2017,River Plaza Howeowners Association,MALE,20,IL,United States,Alternative,51626454.87
2017,"Host Hotels & Resorts, LP",MALE,20,MD,United States,Alternative,87870430.98
2017,"BHB Elmhurst, Inc.",FEMALE,20,IL,United States,Alternative,76067559.1
2020,Johanna Wawro,FEMALE,20,IL,United States,Cash,671986.12
2017,Comcast Corporation and subsidiaries,MALE,20,PA,United States,Cash,111299233.5
2017,Barnacle Parking Enforcement,FEMALE,20,NY,United States,Currency,98278624.69
2017,"Chicago Trattoria Associates, Inc.",MALE,20,IL,United States,ETF,20813030.13
2017,James Vittori,MALE,20,IL,United States,ETF,30691291.03
2017,Straus Real Estate Management,MALE,20,IL,United States,Alternative,104571170.3
2017,United Center Joint Ventures,FEMALE,20,IL,United States,Currency,117590568.7
2017,Catholic Bishop of Chicago,FEMALE,21,Il,United States,Alternative,29511308.59
2017,Illinois Retail Merchants Association,FEMALE,21,IL,United States,Alternative,653067
2017,Illinois Manufacturers' Association,FEMALE,21,IL,United States,Alternative,38311257.73
2017,"Draper & Kramer, Inc",MALE,21,IL,United States,Alternative,40871320.27
2017,VIA TRANSPORTATION INC,FEMALE,21,NY,United States,Alternative,72187265.08
2017,"Rule Transfer IL, Inc.",FEMALE,21,IL,United States,Alternative,27339283.99
2017,"U.S. Bancorp Investments, Inc.",MALE,21,NY,United States,Alternative,103015074.2
2017,"JP Morgan Chase Bank, NA",FEMALE,21,IL,United States,Alternative,16517133.22
2020,The Church of Jesus Christ International,FEMALE,21,IL,United States,Alternative,18382533.97
2017,"Cigar Association of America, Inc",MALE,21,DC,United States,Alternative,83488457.4
2017,The Jaffe Companies,MALE,21,IL,United States,Alternative,28690438.92
2017,United Airlines,FEMALE,21,IL,United States,Alternative,116295478.3
2017,Meyer Bergman,MALE,21,NY,United States,Alternative,96415206.03
2017,Catalyst Consulting Group,MALE,21,IL,United States,Alternative,12044890.53
2017,Genband Media,FEMALE,21,IL,United States,Alternative,3872582
2017,Noble Network of Charter Schools,MALE,21,IL,United States,Alternative,52779649.2
2017,"BlitzLake 3D, LLC",MALE,21,IL,United States,Alternative,102289992.6
2017,La Casa Norte,MALE,21,IL,United States,Alternative,61755181.52
2017,joseph t misch,FEMALE,21,IL,United States,Alternative,556243.54
2017,"The James 914, LLC",MALE,21,IL,United States,Equities,326492.81
2017,Joseph Houlihan,FEMALE,21,IL,United States,Cash,45620864.15
2017,"DAMON DANCE & ROBERT BOND, BOND COMPANIES",FEMALE,21,IL,United States,Currency,15722459.91
2017,Ygrene Energy,MALE,21,CA,United States,Currency,38351306.98
2017,"Kinder Morgan, Inc.",MALE,21,IL,United States,Cash,91324849.47
2017,"Ticketmaster, LLC",MALE,21,CA,United States,Currency,121914801.9
2017,ALEJANDRO RODRIGUEZ & TONETTE NAVARRO,MALE,21,IL,United States,Bonds,5355379.7
2011,Solo Cup Co.,MALE,22,IL,United States,Alternative,462547.0197
2011,CVS Caremark Corp,MALE,22,IL,United States,Alternative,345032.0606
2011,Kinder Morgan Energy Partners,MALE,22,IL,United States,Alternative,219242.5133
2020,Bristol-Myers Squibb Company,MALE,22,DC,United States,Alternative,34610155.35
2017,"City of Chicago, Department of Water Management",FEMALE,22,IL,United States,Alternative,42044540.53
2017,City of Chicago,FEMALE,22,IL,United States,Alternative,10089299.1
2017,"AMI Group, LLC",MALE,22,IL,United States,Alternative,8285303.53
2017,BlueCross BlueShield of Illinois,MALE,22,IL,United States,Alternative,82621163.32
2017,"Belgravia Group, Ltd.",FEMALE,22,IL,United States,Alternative,41883554.97
2017,Fletcher Jones Management Group,FEMALE,22,NC,United States,Alternative,82480374.21
2017,CityBase LLC,FEMALE,22,IL,United States,Alternative,88422608.42
2017,"Election Systems & Software, LLC",FEMALE,22,NE,United States,Alternative,24029960.71
2017,"CUP XI, LLC",MALE,22,IL,United States,Alternative,65303464
2017,George K. Baum & Co.,FEMALE,22,IL,United States,Alternative,58557177.91
2017,"SSP America, Inc.",MALE,22,VA,United States,Alternative,54282253.7
2017,Latin United Community Housing Association,FEMALE,22,IL,United States,Alternative,69904063.89
2017,Chicago Neighborhood Initiatives,MALE,22,IL,United States,Alternative,34910404.69
2017,"River Bend Real Estate Investments, LLC",FEMALE,22,IL,United States,Alternative,53393900.15
2017,Iain & Elizabeth Johnston,MALE,22,IL,United States,Alternative,13912432.18
2016,"Guardian Companies, LLC",FEMALE,22,IL,United States,Alternative,97621020.22
2017,Davis Companies,MALE,22,IL,United States,Alternative,31116060.9
2017,"C-Strategies, LLC",MALE,22,IL,United States,Alternative,19205637.08
2017,Glaze Teriyaki,FEMALE,22,NY,United States,Alternative,34656306.38
2017,Chicago Teachers Union,MALE,22,IL,United States,Alternative,17540690.48
2017,Columbia College,MALE,22,IL,United States,Alternative,38914274.68
2017,"TownPlace Investments, Ltd.",MALE,22,IL,United States,Alternative,78348060.88
2017,Lynda and Mike Mooney,FEMALE,22,IL,United States,Alternative,4752773.69
2017,"Montauk Chicago Realties, Inc.",FEMALE,22,IL,United States,Alternative,94128185.36
2017,M&J Consultants,FEMALE,22,IL,United States,Alternative,71378497.26
2017,New Plan Learning/Concept Schools,MALE,22,IL,United States,Alternative,52873136.68
2017,Thomas Kleveta,MALE,22,IL,United States,Alternative,10131440.42
2017,George Paulin,MALE,22,CA,United States,Alternative,20718394.42
2017,Brian Coffman,FEMALE,22,IL,United States,Alternative,78261814.83
2020,Aon Hewitt Investment Consulting,FEMALE,22,IL,United States,Alternative,113289771.3
2017,"O'Connor, Mr. Michael J.",FEMALE,22,IL,United States,Equities,118705577
2017,RICHARD CHAGOYA,MALE,22,IL,United States,Equities,57477454.7
2017,All Star Management LLC,FEMALE,22,IL,United States,Bonds,30201634.06
2011,United Airlines,FEMALE,23,IL,United States,Alternative,113216.5257
2011,Centrum Properties,MALE,23,IL,United States,Alternative,243043.766
2012,Respiratory Health Association Metropolitan Chicago,MALE,23,IL,United States,Alternative,134950.0015
2012,Special Counsel,FEMALE,23,IL,United States,Alternative,1010926.686
2017,Michael Callahan,MALE,23,IL,United States,Alternative,38008498.91
2017,Water Tower Realty Management,FEMALE,23,IL,United States,Alternative,99419587.85
2017,"Conduent, Inc. and its Affiliates",FEMALE,23,DC,United States,Alternative,51251687.22
2017,"Avis Budget Group, Inc",FEMALE,23,NJ,United States,Alternative,48007316.04
2017,"Horizon Pharma USA, Inc.",FEMALE,23,IL,United States,Alternative,25885196.47
2017,Northern Trust Corporation,FEMALE,23,IL,United States,Alternative,7399140.99
2017,Kellogg Company,MALE,23,MI,United States,Alternative,100103200.6
2017,1010-1058 West 35th Street (Chicago) LLC,MALE,23,IL,United States,Alternative,63515833.62
2017,"Wal-Mart Stores, Inc.",FEMALE,23,AR,United States,Alternative,114211930.3
2017,Black Dog Corporation,MALE,23,IL,United States,Alternative,118311718
2017,Christy Webber Landscapes,FEMALE,23,IL,United States,Alternative,1578968.84
2017,Jim Critchfield,MALE,23,IL,United States,Alternative,12308262
2017,"BannerVision, LLC",FEMALE,23,IL,United States,Alternative,51272122.6
2017,Uptown Special Service Area #34 Commission,FEMALE,23,IL,United States,Alternative,53531226.73
2017,United Airlines Inc,FEMALE,23,IL,United States,Alternative,103935969.6
2017,"NIKE, Inc",MALE,23,NY,United States,Alternative,103594451.7
2017,"632 N. Dearborn Resco, LLC",FEMALE,23,IL,United States,Alternative,63378695.81
2017,Millennium Parking Garages LLC,MALE,23,IL,United States,Alternative,68844227.92
2017,"4935 South Indiana, LLC",FEMALE,23,IL,United States,Currency,18600593.04
2017,"Broderick, William",FEMALE,23,IL,United States,Currency,26018582.46
2011,"Quantum Crossings, LLC",FEMALE,24,IL,United States,Alternative,884423.1424
2011,Chicago Children's Museum,MALE,24,IL,United States,Alternative,608104.6774
2017,"O'Shea, Paudie",MALE,24,IL,United States,Alternative,26235639.51
2017,"Lou Mitchell's Express, Inc",FEMALE,24,IL,United States,Currency,42332527.96
2017,"V3 Capital, LLC",FEMALE,24,IL,United States,Currency,12960675.02
2017,CHICAGOLAND APARTMENT ASSOCIATION,FEMALE,24,IL,United States,Alternative,30534483.97
2017,"MC ASB 934 Fulton, LLC",MALE,24,NY,United States,Alternative,109219469
2016,"Anexis Development, LLC",FEMALE,24,IL,United States,Alternative,15224806.43
2017,MillerCoors LLC,MALE,24,IL,United States,Alternative,35985403.84
2017,Windfall Group,MALE,24,OH,United States,Alternative,62442970.65
2017,BMO Harris Bank NA,MALE,24,IL,United States,Alternative,37722996.03
2017,1320 North State Parkway Apartments,FEMALE,24,NC,United States,Alternative,17151830.94
2017,Aron Uhr,MALE,24,IL,United States,Alternative,68217582.06
2017,"Madia, Mr. Donald",FEMALE,24,IL,United States,Alternative,59354847.48
2017,HOK,FEMALE,24,IL,United States,Alternative,114953910.4
2016,Harlem Irving Companies,MALE,24,IL,United States,Alternative,42204088.6
2017,Barry Sidel,MALE,24,IL,United States,Alternative,86594020.48
2017,Peppercorn 400 LLC,FEMALE,24,IL,United States,Alternative,21624095.8
2017,601W Companies LLC,MALE,24,NY,United States,Alternative,41491422.82
2017,Thermo Fisher Scientific,MALE,24,OH,United States,Alternative,25448635.96
2017,"Carbyne, Inc.",MALE,24,NY,United States,Alternative,32735300.96
2017,"Contemporary Concepts, Inc.",FEMALE,24,IL,United States,Alternative,98441014.59
2017,"Axon Enterprise, Inc.",MALE,24,AZ,United States,Alternative,43445770.05
2017,Blake Boehmler,MALE,24,IL,United States,Alternative,34683187.02
2017,City of Chicago,MALE,24,IL,United States,Alternative,123024481.6
2017,Jamie Rodriguez,FEMALE,24,IL,United States,Equities,53052014.11
2017,Gustavo Zuniga,MALE,24,IL,United States,Bonds,70940400.95
2017,Joseph Houlihan,MALE,24,IL,United States,Currency,63526396.72
2017,Hubbard Street Group,MALE,24,IL,United States,Alternative,106892839
2017,Pioneer Acquisitions,MALE,24,NY,United States,Currency,95008106.5
2020,MARC HORWITZ C/O DLA PIPER LLC,FEMALE,24,IL,United States,Currency,47354398.73
2017,CyGov,FEMALE,24,IL,United States,Alternative,106993421.5
2011,"Family Guidance Centers, Inc",FEMALE,25,IL,United States,Alternative,951152.9921
2011,55th & State Redevelopment LLC,MALE,25,IL,United States,Alternative,773190.3783
2017,BERGHOFF RESTAURANT COMPANY OF DELAWARE,MALE,25,IL,United States,ETF,1506681.07
2017,Lyft,MALE,25,CA,United States,Alternative,48886307.85
2017,Fer-Pal Construction USA LLC,FEMALE,25,IL,United States,Alternative,90146094.87
2017,Joel Kennedy Constructing Corp.,MALE,25,IL,United States,Alternative,65062596.96
2020,Crown Castle NG Central LLC,MALE,25,PA,United States,Alternative,59188284.49
2017,Blue Star Acquisitions,FEMALE,25,IL,United States,Alternative,55622719.94
2020,JCDecaux,MALE,25,IL,United States,Alternative,7931062.97
2017,632 N Dearborn LLC,MALE,25,IL,United States,Alternative,66478445.34
2017,Citizens Utility Board,MALE,25,IL,United States,Alternative,73213076.84
2017,"Guardian Companies, LLC",FEMALE,25,IL,United States,Alternative,45063958.84
2017,GREG STEC C/O METRO HOUSING DEVELOPMENT CORP.,MALE,25,IL,United States,Alternative,26788580.63
2017,Icon Capital LLC,MALE,25,IL,United States,Alternative,85009424.86
2017,Humana,MALE,25,KY,United States,Alternative,82193808.46
2017,"Schubert Development Partners, LLC",FEMALE,25,CO,United States,Alternative,11748732.58
2017,"Crossroads Development Partners, LLC",MALE,25,IL,United States,Alternative,95464441.22
2017,Rosemont Exposition Services,FEMALE,25,IL,United States,Alternative,116236147.9
2017,"Millennium Parking Garages, LLC",FEMALE,25,IL,United States,Alternative,26135562.94
2017,Western Bell Inc.,FEMALE,25,IL,United States,Alternative,63182440.65
2017,American Airlines,FEMALE,25,TX,United States,Alternative,74404314.65
2017,The Barrack Obama Foundation,FEMALE,25,IL,United States,Alternative,113475013.8
2020,"Chicago Police Department Bureau of Technical Services, Information Services Division, Unit 125",MALE,25,IL,United States,Alternative,75562700.63
2017,Chicago Police/ OEMC,FEMALE,25,IL,United States,Alternative,73947961.5
2017,Lakeshore Waste Services,FEMALE,25,IL,United States,Alternative,17294891.68
2020,"75th State Food, Inc.",FEMALE,25,IL,United States,Alternative,26287842.02
2017,Lincoln Park Community Shelter,FEMALE,25,IL,United States,Alternative,89809810.39
2017,Ian Schaul,FEMALE,25,CO,United States,Currency,64495680.19
2017,Yick Chiu,FEMALE,25,IL,United States,ETF,47202605.57
2017,5712 Washtenaw LLC,FEMALE,25,IL,United States,Alternative,53785390.8
2017,"Reyes Kurson, Ltd.",MALE,25,IL,United States,Currency,78591368.26
2017,General Electric,MALE,25,IL,United States,Currency,60714774.85
2017,UBS Financial Services Inc.,FEMALE,25,IL,United States,Alternative,94278398.81
2017,"Elston Live, LLC",MALE,25,IL,United States,Alternative,11120450.41
2017,Altec Industries Inc,FEMALE,25,AL,United States,Alternative,83892824.09
2017,Chicago Self Storage,FEMALE,26,CA,United States,Alternative,28054950.6
2017,Procom Enterprises LTD,FEMALE,26,IL,United States,Alternative,107702784.7
2017,Saab Sensis Corporation,FEMALE,26,NY,United States,Alternative,106707904.1
2017,Wisconsin Energy Corporation,FEMALE,26,WI,United States,Alternative,7773749.99
2017,United Healthcare Services,FEMALE,26,IL,United States,Alternative,48506735.15
2017,"Peoria Parking Partners, LLC",MALE,26,IL,United States,Alternative,78043582.46
2017,Jesus Dominguez,MALE,26,IL,United States,Alternative,70450954.45
2016,Jesus Dominguez,MALE,26,IL,United States,Alternative,96019259.53
2017,Public Building Commission of Chicago,MALE,26,IL,United States,Alternative,87968327.47
2017,PNC Bank,MALE,26,IL,United States,Alternative,44491829.93
2016,Murphy USA,FEMALE,26,AR,United States,Alternative,83527078.42
2017,RBC Global Asset Management,MALE,26,MN,United States,Alternative,114725857.7
2017,"Fulton Market Kitchen, LLC",FEMALE,26,IL,United States,Alternative,74962437.15
2017,"IL-700 West Chicago Avenue, LLC",MALE,26,IL,United States,Alternative,115435427.8
2017,Starbucks Corporation,MALE,26,WA,United States,Alternative,15811239.06
2017,Chicago Cares,MALE,26,IL,United States,Alternative,22536416.96
2017,Greenlining Realty USA,FEMALE,26,IL,United States,Alternative,58580357.66
2017,"UBS Financial Services, Inc.",MALE,26,IL,United States,Alternative,68432537.8
2017,"Macy's, Inc.",MALE,26,OH,United States,Alternative,69088755.22
2017,"Skidmore, Owings & Merrill",FEMALE,26,IL,United States,Alternative,77077009.89
2017,Moceri + Roszak,MALE,26,IL,United States,Currency,121182214.3
2017,Coalition to Save Jobs in the Amusement Industry,MALE,26,IL,United States,Alternative,39952663.3
2017,"Taylor, Bradford",MALE,26,IL,United States,Equities,12999965.66
2017,"Airbnb, Inc.",FEMALE,27,CA,United States,Alternative,97788622.55
2017,"Chicago Parking Meters, LLC",MALE,27,IL,United States,Alternative,38151360.02
2017,"Chicago Parking Meters, LLC",FEMALE,27,IL,United States,Alternative,85988175.35
2017,Commonwealth Edison,FEMALE,27,IL,United States,Alternative,63969573.95
2017,AT&T Illinois,FEMALE,27,IL,United States,Alternative,112747408.1
2017,Aries Real Estate,MALE,27,IL,United States,Alternative,390025.63
2017,"Blue Water Capital, LLC",FEMALE,27,IL,United States,Alternative,108697593.7
2017,Lennar Corp.,MALE,27,NC,United States,Alternative,82089175.73
2017,Camelot Education,FEMALE,27,TX,United States,Alternative,41166769.64
2017,Civic Health Development Group LLC,MALE,27,IL,United States,Alternative,20001504.42
2017,Fifield Construction & Realty Inc,FEMALE,27,IL,United States,Alternative,121797981.7
2017,SMG,MALE,27,PA,United States,Alternative,6111230.9
2020,"Wells Fargo Bank, N.A.",MALE,27,OR,United States,Alternative,101517072.2
2017,"Duty Free World, Inc.",FEMALE,27,FL,United States,Alternative,29305545.1
2017,Zeller Realty Corp.,MALE,27,IL,United States,Alternative,61203411.64
2017,Aon Corporation,MALE,27,IL,United States,Alternative,94200126.33
2017,S. Levy Foods,MALE,27,IL,United States,Alternative,111210350.7
2017,Macerich,MALE,27,CA,United States,Alternative,75515218.03
2016,Harlem Irving Companies,FEMALE,27,IL,United States,Alternative,68179998.82
2017,"Gateway Foundation, Inc.",FEMALE,27,IL,United States,Alternative,10499763.17
2016,PETE VITOGIANNIS C/O SOBO HOMES LLC,FEMALE,27,IL,United States,Alternative,21715077.35
2017,Hayes Properties,FEMALE,27,IL,United States,Alternative,85236806.4
2017,Megabus USA LLC,FEMALE,27,IL,United States,Alternative,113316091.5
2017,Federal Realty Investment Trust,MALE,27,MD,United States,Alternative,119962797.8
2017,"BB&G, LLC",FEMALE,27,IL,United States,Alternative,10058128.16
2017,"Alloy Property Company, LLC",FEMALE,27,IL,United States,Alternative,73808961.91
2017,"Delgado, Deanne Benos & Carlos",MALE,27,IL,United States,Alternative,108104755
2017,"1437 West Grand, LLC",MALE,27,IL,United States,Alternative,22024844.72
2017,GLENN & KATHRYN MCMILLAN,MALE,27,IL,United States,Currency,10205241.8
2017,ALAN COYLE,MALE,27,IL,United States,Currency,68019524.8
2017,Chicago Teachers Union Foundation,FEMALE,27,IL,United States,Alternative,17686721.06
2017,Steppenwolf Theater Company,FEMALE,27,IL,United States,Bonds,34196740.97
2017,Sterling Bay Companies,MALE,28,IL,United States,Alternative,18920397.52
2017,ComEd,FEMALE,28,IL,United States,Alternative,21070461.22
2017,Wolf Point Owners LLC,FEMALE,28,NY,United States,Alternative,55528525.67
2017,"One Financial Property, LLC",FEMALE,28,IL,United States,Alternative,70365637.07
2017,Water Saver Faucet Co.,MALE,28,IL,United States,Alternative,103959014.6
2017,"NorthAmerican Concessions, Inc",FEMALE,28,IL,United States,Alternative,100715345.6
2017,Chicagoland Chamber of Commerce,FEMALE,28,IL,United States,Alternative,63444762.04
2017,"Abrams, Ron",MALE,28,IL,United States,Alternative,56327267.13
2016,"May Street, LLC",MALE,28,IL,United States,Alternative,115588081.1
2017,Studio Gang Architects,FEMALE,28,IL,United States,Alternative,121938349.1
2017,U.S. Bank Municipal Securities Group,FEMALE,28,NY,United States,Alternative,47838488.54
2017,"U.S. Bancorp Investments, Inc.",FEMALE,28,NY,United States,Alternative,70083407.75
2020,"Estrada Hinojosa & Company, Inc.",FEMALE,28,IL,United States,Alternative,20809511.32
2017,CN,FEMALE,28,DC,United States,Alternative,61945688.48
2017,George Markopoulos,MALE,28,IL,United States,Alternative,20182629.67
2017,LAZ Parking,MALE,28,CT,United States,Alternative,108541753.1
2017,"FireIce Solutions, LLC",MALE,28,MA,United States,Alternative,108065675.5
2017,SXF-React Operating LLC,MALE,28,IL,United States,Alternative,92194571.15
2020,Test400k,MALE,28,IL,United States,Alternative,75833173.86
2017,The NHP Foundation,FEMALE,28,NY,United States,Currency,67508624.65
2020,Xsight Systems,MALE,28,MA,United States,Currency,6727777.88
2020,"IL-700 West Chicago Ave, LLC",FEMALE,28,IL,United States,Currency,51749664.11
2017,SIMEC,MALE,28,IL,United States,Currency,56704549.47
2017,"Brite Logistics, Inc.",FEMALE,28,IL,United States,Currency,12883405.57
2017,"Stepline Development, LLC",MALE,28,IL,United States,Currency,29227948.98
2017,United States Steel Corporation,MALE,28,PA,United States,Currency,14520063
2017,"1200 West Fulton Market, LLC",FEMALE,28,IL,United States,Currency,11043149.42
2011,Van Wagner Outdoor,MALE,29,NY,United States,Currency,668846.2027
2011,VacationRentChicago.com,FEMALE,29,IL,United States,Currency,183571.6081
2012,Latin Rhythms Dance Ltd,MALE,29,IL,United States,Currency,702669.9017
2011,AT&T Illinois,MALE,29,IL,United States,Currency,437157.5694
2011,Hertz Rental Car Corporation,MALE,29,NJ,United States,Currency,1051905.307
2012,DAGS Desplaines LLC c%2fo Mesirow Financial,FEMALE,29,IL,United States,Currency,4.4829
2012,Barrett & Porto,MALE,29,IL,United States,Currency,32.0906
2011,Chicago Teachers Union,MALE,29,IL,United States,Currency,224527.9191
2011,HR Green,FEMALE,29,IL,United States,Currency,154436.2353
2012,"Knight Engineers and Architects, Inc.",FEMALE,29,IL,United States,Currency,83506.8438
2011,JPMorgan Securities Inc.,MALE,29,CO,United States,Currency,0.4545
2012,ULICH Children's Advantage Network,FEMALE,29,IL,United States,Currency,638972.4065
2012,"Lakeshore East, LLC",MALE,29,IL,United States,Currency,688506.7145
2012,5657 Broadway LLC,FEMALE,29,IL,United States,Currency,335404.872
2011,Academy for Urban School Leadership,FEMALE,29,IL,United States,Currency,952068.257
2011,Credit Suisse Securities (USA) LLC,MALE,29,NY,United States,Currency,0.0004
2013,Goldblatt's SLF LLC,MALE,29,il,United States,Currency,729150.3912
2013,BBC-LI Walton LLC,MALE,29,IL,United States,Currency,689850.0018
2013,YC17 LLC,MALE,29,IL,United States,Currency,1065440.014
